record_id,record_revision,record_date,record_title,record_amount_pence,record_status,line_id,line_position,line_name,line_quantity,line_allocation_pence,line_detail,copy_count,copy_allocation_pence_sum
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-c08195bb-52ee-44e3-85bd-355029b030a2,33,Multiply,1,20,YGLD-ENB32 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-272f92cd-e30b-4c4a-9655-a524ef3269b7,34,Multiply,1,20,YGLD-ENA32 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-508e50e6-8efd-4256-b1a4-49bd64c340f2,35,Swords of Revealing Light,1,20,YGLD-ENA24 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-92ce30ba-0d11-4705-b001-7213f5018832,36,Swords of Revealing Light,1,20,YGLD-ENC25 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-08858449-2245-47e8-b0e8-4f1a38ee15b7,37,Dark Magician,1,20,YGLD-ENA03 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-49e66fe6-4644-4d43-9d42-9cd7e9be69a0,38,Gaia the Dragon Champion,1,20,YGLD-ENA41 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-58c8a581-a337-415c-8d85-9863f4635cbb,39,Chimera the Flying Mythical Beast,1,20,YGLD-ENB41 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-672b59de-4ae4-4c21-99aa-24eb5ad9dc42,40,Monster Reborn,1,20,YGLD-ENB16 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-72d18c69-b88b-45bb-a8b6-f4c1da4e2c97,41,Polymerization,1,20,YGLD-ENB30 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-5d5fe108-ce77-49b2-b2d3-faef792328ed,42,Polymerization,1,20,YGLD-ENA35 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-4a5e6f64-f802-40a1-88b8-d360ac515c08,43,Polymerization,1,20,YGLD-ENC28 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-7bb003d8-3051-4472-b3c8-6bced29bfcde,44,Gemini Elf,1,20,YSDJ-EN002 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-c2511e7c-f649-4874-b0ee-6077f88a84d5,45,Dust Tornado,1,20,SDRL-EN033 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-d60c073a-53e4-478c-8de4-524f2124948c,46,Megamorph,1,20,SD09-EN024 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-92d4d190-e471-4abf-9e65-0983abc0228c,47,Magic Jammer,1,20,YSDJ-EN035 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-c0f11d1f-e64d-4dd8-9c38-20a5373ac672,48,Cybernetic Revolution,1,20,CRV-EN021 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-180ea1cf-569c-4517-abde-5f614e355c1e,49,Reload,1,20,SD4-EN022 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e443e579-2d74-459c-8892-5cecd5ec85c4,50,Herald of Creation,1,20,SDRL-EN003 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e49f5909-ffcf-47a5-a6d5-eec8deb70290,51,The Six Samurai - Irou,1,20,SDWA-EN008 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-6d32690e-958e-4320-b0ea-953f786ffa8f,52,Fiendish Chain,2,40,SDWA-EN036 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-1888606a-e9a0-4f8d-8a16-464d41a1d2d0,53,Monster Reborn,1,20,YGLD-ENA23 · 1st Edition · from Bulk lot · 130 card types,1,20
