record_id,record_revision,record_date,record_title,record_status,record_amount_pence,line_id,line_position,card_name,line_quantity,line_allocation_pence,line_detail,copy_id,allocation_index,copy_allocation_pence,copy_condition,copy_status,copy_location,printing_set_name,printing_set_code,printing_tcgplayer_url,target_name,target_rarity,target_edition,copy_created_at,copy_updated_at
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-25a6918e-7c50-44bb-8fe1-c0818ea3b63f,19,Diffusion Wave-Motion,1,20,YGLD-ENB22 · 1st Edition · from Bulk lot · 130 card types,copy-e3464dea-72fb-40a9-9623-7324b1400850,20,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB22,https://www.tcgplayer.com/product/108265/yugioh-king-of-games-yugis-legendary-decks-diffusion-wave-motion?Language=English&page=1,Diffusion Wave-Motion,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-7fe6528f-8f08-4c8b-acd2-8d204bfcef58,20,Double Spell,1,20,YGLD-ENB23 · 1st Edition · from Bulk lot · 130 card types,copy-c5287309-89d9-415a-b331-be1d67f5f863,21,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB23,https://www.tcgplayer.com/product/108266/yugioh-king-of-games-yugis-legendary-decks-double-spell?Language=English&page=1,Double Spell,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-4d2dadd2-4f5a-4e98-9db1-eda272428633,21,Ectoplasmer,1,20,YGLD-ENB24 · 1st Edition · from Bulk lot · 130 card types,copy-449d2ddf-e740-4ced-a74f-1e9da9054bb8,22,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB24,https://www.tcgplayer.com/product/108267/yugioh-king-of-games-yugis-legendary-decks-ectoplasmer?Language=English&page=1,Ectoplasmer,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-9f946892-7c4c-4b72-a708-9573d062aafd,22,Dark Magic Curtain,1,20,YGLD-ENB18 · 1st Edition · from Bulk lot · 130 card types,copy-0743f167-36d6-42c4-bebb-4823c65b5ab9,23,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB18,https://www.tcgplayer.com/product/108261/yugioh-king-of-games-yugis-legendary-decks-dark-magic-curtain?Language=English&page=1,Dark Magic Curtain,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-eec57dfb-a171-4db7-9187-b780258fb4b4,23,Magical Dimension,1,20,YGLD-ENB21 · 1st Edition · from Bulk lot · 130 card types,copy-fe5b2e3f-c020-409a-8889-e00b43c666cc,24,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB21,https://www.tcgplayer.com/product/108264/yugioh-king-of-games-yugis-legendary-decks-magical-dimension?Language=English&page=1,Magical Dimension,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-d4551fb0-6683-4887-87ed-8b078e1b9e8c,24,Gamma the Magnet Warrior,1,20,YGLD-ENB13 · 1st Edition · from Bulk lot · 130 card types,copy-6cfcb6f0-7776-47df-a967-5aebab20348e,25,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB13,https://www.tcgplayer.com/product/108256/yugioh-king-of-games-yugis-legendary-decks-gamma-the-magnet-warrior?Language=English&page=1,Gamma the Magnet Warrior,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-8b4af53c-f0bb-4386-92ff-1b2b2e02383b,25,Magicians Unite,1,20,YGLD-ENC30 · 1st Edition · from Bulk lot · 130 card types,copy-7dc77920-0af5-43a5-ba38-eb62eb22efd6,26,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENC30,https://www.tcgplayer.com/product/108314/yugioh-king-of-games-yugis-legendary-decks-magicians-unite?Language=English&page=1,Magicians Unite,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-2fd5724b-a254-48d1-83e4-e55f3fc9d44b,26,Thousand Knives,1,20,YGLD-ENB19 · 1st Edition · from Bulk lot · 130 card types,copy-a547470e-ca13-45d2-8b90-054cfb48f3b8,27,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB19,https://www.tcgplayer.com/product/108262/yugioh-king-of-games-yugis-legendary-decks-thousand-knives?Language=English&page=1,Thousand Knives,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-24ec2680-6021-4351-8bc7-68bcf9755ea8,27,Dark Magic Attack,1,20,YGLD-ENC29 · 1st Edition · from Bulk lot · 130 card types,copy-7cd8dbe5-b869-428e-a09a-6e266f7160df,28,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENC29,https://www.tcgplayer.com/product/108313/yugioh-king-of-games-yugis-legendary-decks-dark-magic-attack?Language=English&page=1,Dark Magic Attack,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-283a7141-f5e6-45ee-9162-62534df2f826,28,Emblem of Dragon Destroyer,1,20,YGLD-ENC34 · 1st Edition · from Bulk lot · 130 card types,copy-e45eaac1-d119-4c00-8798-ca556e2027e8,29,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENC34,https://www.tcgplayer.com/product/108318/yugioh-king-of-games-yugis-legendary-decks-emblem-of-dragon-destroyer?Language=English&page=1,Emblem of Dragon Destroyer,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-462e5307-cb52-4f8b-83c4-6c25a391e05d,29,Magic Formula,1,20,YGLD-ENB20 · 1st Edition · from Bulk lot · 130 card types,copy-3ed03993-a791-45de-9417-adb1fb910fc2,30,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB20,https://www.tcgplayer.com/product/108263/yugioh-king-of-games-yugis-legendary-decks-magic-formula?Language=English&page=1,Magic Formula,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
